Name	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YDL052C	-0.6	-0.25	-0.29	-0.04	-0.01	0.31	-0.34	0.01	-0.01	-0.03	-0.04	-0.36	-0.1	-0.18	-0.09	0.15	0.19	-0.14	-0.42	0.37	0.79	-0.42	-0.27	0.25	0.29	0.72	0.34	0.64	0.45	0.32	0.34	0.38	-0.81	-1.06	-0.58	-0.3	-0.43	-0.54	-0.71	-0.38	-0.2	0.1	-0.15	0.19	-0.64	-0.49	-0.42	0.06	0.12	0.1	-0.4	-0.42	-0.49	0.04	-0.1	-0.81	0.55	0.64	0.04	0.16	0.08	0.21	0.7	0.7	0.57	-0.71	0.63	-0.17	-0.22	0.08	-0.97	-0.69	-0.04	0.52	-0.09	-0.29	-0.56	-1.43	-1.47
YAL023C	-0.67	-1.22	-0.3	0	0.54	0.31	0.25	-0.4	-0.3	-0.4	-0.2	0.04	0.01	0.16	0.3	0.08	0.04	-0.36	-1.47	-1.15	-1.09	-0.64	-0.15	-0.15	0.16	0.31	0.2	0.25	-0.36	0.16	-0.29	-0.36	0.12	-0.81	-0.51	-0.42	-0.49	-0.89	-0.69	-0.32	-0.4	-0.64	-0.76	-0.6	-0.89	-0.2	-1.03	-0.23	0.33	0.25	-0.38	-0.92	-1.15	0.03	-0.47	-0.79	0.88	0.15	0.32	-0.42	-0.09	0.23	0.4	0.42	0.45	-0.6	0.86	0.65	0.51	-0.2	0.06	-0.3	0.12	0.12	0.1	-0.34	0	-1.36	-1.15
YDL095W	-0.42	-0.79	-0.22	-0.06	0.44	0.18	0.4	-0.3	-0.2	-0.49	-0.36	0.03	0.18	0.1	0.11	0.01	-0.47	-0.43	-0.94	-0.3	-0.43	-0.43	-0.04	0.28	0.62	0.3	0.28	0.11	0.29	0.41	-0.32	-0.07	-0.45	-0.74	-0.32	-0.23	-1.25	-0.97	-0.47	-0.18	-0.17	-0.58	-0.76	-1.09	-0.71	-0.71	-0.81	-0.27	0.34	0.24	-0.01	-0.71	-0.89	-0.27	-0.62	-0.79	1.15	0.32	0.26	0.01	0.06	0.44	0.68	0.16	-0.17	0.11	1.07	0.18	0.33	-0.42	0	-0.54	0.19	0.31	0.19	-0.14	0.03	-1.22	-0.84
YGL027C	-0.06	-0.4	0.29	0.24	0.81	0.41	0.66	0.03	0	-0.14	0.25	0.26	0.34	0.12	0.5	0.21	0.21	-0.38	-1.12	-0.69	-0.74	-0.38	-0.23	0.01	0.12	0.08	0.14	-0.1	-0.04	0.07	-0.22	-0.27	-0.62	-0.47	0.1	-0.09	-0.43	-0.67	-0.12	0.14	0.16	-0.29	-0.71	-0.89	-0.09	-0.14	-0.12	-0.25	0.5	0.03	-0.36	-0.76	-0.49	0.2	-0.92	-1.03	0.78	0.38	-0.12	-0.23	-0.22	0.4	0.1	0.49	-0.34	-0.76	0.25	-0.15	-0.04	-0.43	0.07	-1.22	-0.04	0.24	0.37	0.23	0.33	-0.3	-0.15
YGL200C	-0.71	-0.23	-0.03	0.37	0.29	0.55	0.4	0.06	-0.12	0.04	-0.14	-0.06	0.29	0.06	0.15	-0.1	-0.12	-0.15	-0.32	-0.27	-0.01	0.33	0.2	0.43	0.59	0.69	0.16	0.38	0.54	0.31	0.1	0.25	-0.14	-0.2	0.23	0.36	-0.01	-0.43	-0.14	0.61	0.43	-0.09	-0.09	-0.56	-0.25	-0.23	-0.1	0.2	1.06	0.33	0.77	0	-0.23	0.62	0.19	-1.15	0.99	-0.32	0.16	0.01	-0.23	-0.34	0.01	0	0.79	0.16	0.77	0.83	0.08	0.33	-0.81	-0.69	0.12	0.15	0.7	0.16	0.2	0.3	-0.79
YOR099W	-0.4	-0.54	0	0.25	0.24	0.31	0.1	0.06	-0.14	-0.62	0	-0.32	0.11	-0.14	0.33	0	-0.01	-0.71	-0.47	-0.34	-0.27	0.15	0.36	0.16	0.57	0.11	0.04	-0.07	0.07	0.01	-0.14	-0.23	-0.6	-0.45	0.03	0.24	0.23	-0.42	-0.1	0.69	0.3	-0.1	-0.54	-0.67	-0.38	-0.32	-0.42	0.03	0.37	0.33	0.9	0.73	0.6	-0.01	0.44	0.08	0.84	0.15	0.04	-0.42	-0.38	-0.51	-0.06	-0.01	0.87	0.19	1.11	1.49	0.3	-0.15	0	-0.12	0.29	0.24	1.03	0.34	0.52	-0.67	-0.42
YKL073W	0.11	-0.06	0.32	0.07	0.38	0.14	0.37	-0.23	-0.07	0.07	-0.07	0.16	-0.1	-0.03	-0.03	-0.03	0.1	-0.34	-0.71	-0.76	-0.62	-0.38	-0.32	0.16	0.06	0.26	-0.03	0.32	0.18	-0.25	-0.22	-0.22	-1.03	-1.25	-1.03	-1	-0.89	-0.92	-1	-0.89	-0.76	-0.69	-0.92	-0.86	-0.71	-1.03	-0.79	-0.43	-0.4	0.1	0.19	-0.25	-0.45	-0.29	-0.12	-0.79	0.15	0.24	-0.34	-0.38	-0.58	-0.4	0.01	-0.14	1.06	0.93	1.29	1.1	0.1	-0.6	-0.62	-0.47	-0.2	-0.29	-0.06	0.1	0.04	-0.81	-1.29
YDR518W	-0.06	-0.18	0.36	0.48	0.48	0.21	0.52	-0.27	-0.18	0.11	-0.25	0.06	0.12	0.06	0.06	-0.3	-0.34	-0.43	-0.94	-0.71	-0.64	-0.81	-0.51	-0.25	-0.29	0.07	0.06	-0.04	-0.12	-0.15	-0.15	0.08	-0.45	-0.58	-0.29	-0.38	-0.69	-0.89	-0.45	0.19	0.01	-0.4	-0.81	-1.09	-0.58	-0.17	-0.47	-0.2	0.7	0.42	0.86	0.28	0.33	0.04	-0.32	-0.62	1.41	0.89	-0.18	0.07	-0.58	-0.74	0.18	-1.06	0.86	0.58	1.66	1.42	-0.47	-0.38	-0.86	-0.84	-0.17	0.1	0.16	-0.38	-0.07	0.03	-0.2
YJL073W	-0.03	-0.2	0.77	0.96	0.25	0	-0.17	-0.42	-0.47	-0.23	-0.18	0.24	0.03	-0.2	-0.3	-0.38	-0.56	-0.3	-1.43	-0.74	-0.12	-0.32	0.3	0.11	0.33	0.21	-0.07	0.07	0.07	-0.27	-0.67	-0.07	-0.36	-0.27	-0.23	-0.6	-0.71	-0.71	-0.27	-0.17	-0.18	-0.71	-0.74	-0.4	-0.45	-0.42	-0.42	0.06	0.31	0.42	0.34	0.23	0.16	0	-0.27	-0.49	1.13	1.12	-0.15	0.28	0.15	0.26	-0.04	0.56	0.86	0.66	0.96	0.93	-0.36	0.3	0.28	0.33	0.03	-0.01	-0.03	-0.47	-0.42	-0.67	-0.62
YDR503C	-0.27	0.4	0.28	0.75	-0.06	0.12	-0.43	-0.3	-0.2	-0.4	-0.03	0.2	0.26	-0.2	-0.25	-0.22	-0.34	-0.4	-0.81	-0.36	-0.15	-0.25	-0.34	-0.17	-0.09	0.07	-0.18	-0.07	-0.2	-0.2	-0.27	-0.14	-0.2	0.08	0.11	-0.51	-1.15	-1.03	-0.01	0.51	0.14	-0.71	-0.71	-0.56	0.12	0.15	0.19	0.1	0.64	0.16	0.39	0.16	0.39	0.59	0.19	-0.22	1.23	0.73	-0.01	0.62	0.43	0.23	0.12	-0.22	-0.32	0.24	0.77	0.41	-0.2	0.54	-0.38	-0.58	0.1	0.06	0.56	0.08	0.2	0.23	0.34
YER136W	0.46	0.44	0.53	0.7	0.36	0.39	0	0.39	0.29	-0.2	0.42	0.29	0.07	0.1	0.25	0.37	0	0.14	0.46	0.4	0.29	0.16	-0.03	0.11	0.07	-0.09	-0.12	-0.29	0.16	-0.14	-0.01	0.01	-1.03	-0.92	-0.51	-0.25	-0.45	-0.34	-0.23	-0.25	0.04	-0.27	-0.18	0.95	0.01	-0.09	0.03	-0.2	0.07	-0.49	-0.94	-1.32	-1.51	0.4	-0.64	-1.06	0.48	0.51	-0.03	0.16	-0.25	-0.54	-0.34	-0.34	0.44	0.11	0.58	0.65	0.06	-0.32	0.1	0.53	0.31	0.18	0.15	-0.27	-0.51	-0.15	-0.43
YKL184W	0.08	-0.14	0.12	0.2	0.21	0.04	0.15	0.19	0.31	0.15	0.01	-0.12	-0.07	-0.12	-0.04	0.01	-0.29	0.21	-0.45	0.04	0.18	-0.06	0.23	0.26	-0.07	0.07	0.06	0.1	0.07	0.1	-0.22	0.07	-0.64	-0.69	-0.62	0.34	-0.27	0.1	-0.4	-0.36	0.5	-0.15	-0.07	0.66	-0.64	-0.56	-0.62	0.03	0.07	0.12	-0.27	-0.54	-0.71	-0.18	-0.71	-1.43	-0.07	-0.18	0	0.21	-0.29	-0.22	0	0.03	0.21	-0.84	0.01	-0.22	0	-0.25	-0.15	0.28	0.15	0.12	-0.3	-0.76	-0.64	-0.3	-0.54
YOR103C	-0.03	0.4	0.11	0.29	0.25	0.21	0.04	0.16	-0.06	-0.43	-0.32	-0.29	0.1	0.01	0.21	0	0.06	-0.45	0.26	-0.45	-0.12	0.31	0.43	-0.25	0.2	-0.01	-0.25	-0.47	0.12	-0.4	-0.54	-0.36	-0.2	-0.25	-0.14	0.11	-0.01	-0.51	-0.15	-0.38	0.01	0.26	-0.06	-0.76	-0.29	-0.32	-0.07	-0.32	-0.14	-0.3	-0.23	-0.4	-0.36	0.06	-0.1	-0.42	-0.06	-0.14	0.41	-0.34	-0.36	-0.64	-0.3	0.19	0.16	-0.09	0.26	0.08	0.2	0.04	0.15	0.11	0.18	0.19	0.62	0.04	-0.15	0.08	-0.71
YGR040W	0.1	0	0.01	-0.1	-0.15	-0.07	-0.29	-0.1	-0.07	-0.34	0.14	0.21	0.16	0.38	0.08	0.11	-0.1	0.01	-0.94	-0.45	0.08	0.26	0.24	0.18	0.15	0.07	-0.54	0.01	0.34	0.01	0.11	0.29	0.44	0.26	0.21	-0.06	-0.29	-0.1	0	0.06	0.04	-0.74	-0.43	0.4	-0.07	-0.17	-1.09	-0.09	-0.43	0.11	-0.67	-0.86	-0.36	-0.1	-0.74	-0.74	-0.23	-0.12	0.23	-0.86	0.04	0	-0.1	0.4	0.28	-0.38	0.21	0.51	-0.01	0.77	0.93	0.86	-0.12	0.11	0.55	-0.12	-0.38	0.19	-0.04
YDR047W	-0.1	-0.04	-0.17	-0.12	0.04	-0.22	-0.32	-0.17	0.36	-0.34	0.48	0.07	0.16	-0.01	0.12	0.34	-0.3	-0.15	-0.47	-0.1	0.04	0.15	-0.04	0.16	0.29	0.38	-1.25	0.28	0.04	0.63	0.43	0.28	0.14	0.18	-1.15	-0.18	-0.43	-0.23	-0.09	0.26	0.26	-0.15	-0.3	0.15	0	-0.2	-0.03	0.15	0.03	-0.36	-0.45	-0.2	-0.22	0.2	-0.07	0.08	0.04	-0.22	0.24	-0.29	-0.25	-0.56	-0.43	0.26	0.57	-0.1	0.39	0.18	0.24	0.33	0.21	0.87	0.19	0.21	0.55	0.04	-0.56	0.26	-0.54
YKL114C	-0.15	0	-0.12	0.2	-0.34	0.33	-0.07	0.19	-0.06	0.3	0.08	0.24	-0.03	-0.3	-0.17	-0.25	0	0	-0.14	0.04	-0.25	0.01	0.54	0.3	0.21	0.04	-0.23	0.04	0.38	-0.1	-0.38	-0.04	0.25	0.42	0.29	0.07	-0.01	-0.04	0.15	0.25	0.12	-0.34	-0.06	0.03	0.2	-0.12	0.06	0.1	0.15	-0.12	0.29	-0.1	-0.07	0.44	0.03	-0.29	0.03	0.57	-0.12	-0.54	-0.14	-0.25	-0.36	0.16	0.33	0.07	0.21	0.48	-0.3	0.37	0.03	0.55	0.04	0	0.36	-0.14	-0.12	0.23	-0.3
YHR183W	0.31	-0.1	0.15	0.08	0.32	-0.14	0.37	-0.09	0.07	-0.29	-0.14	-0.2	0	-0.38	0.18	-0.12	-0.18	-0.29	-0.97	1.42	-0.4	-0.25	-0.01	0.11	-0.07	0.03	0.3	-2	-0.01	0.28	-0.12	-0.29	-1.18	-1.36	-0.84	-0.25	0.15	-0.03	-0.49	-0.58	-0.62	-0.4	-0.14	-1.25	-0.64	-0.71	-0.45	-0.54	-0.25	0	0.03	0.01	0	-0.17	0.01	-0.36	-0.29	-0.23	0.15	0.11	-0.23	-0.2	0.45	-0.12	0.4	-0.4	0.2	0.2	0.43	-0.01	-0.03	-0.54	-0.09	0.06	0.04	-0.32	-0.23	-0.32	-0.64
YBR097W	-0.04	-0.29	0.08	0.04	0.25	-0.22	-0.01	0.23	0	0.51	-0.15	-0.25	-0.1	-0.12	-0.06	0.19	-0.15	1.46	0.32	0.34	-0.03	0	-0.36	-0.81	-0.58	-0.23	-0.45	0.2	-0.54	0.29	0.46	0.3	-0.15	-0.15	-0.36	0.52	0	-0.03	-0.1	-0.54	0.37	-0.06	-0.36	-0.12	-0.25	-0.45	-0.38	-0.01	-0.06	-0.09	0.03	-0.17	0.1	-0.12	-0.14	-0.04	0.07	-0.22	0	0.43	0.4	-0.18	-0.42	-0.92	-0.23	-0.86	-0.2	-0.22	0.12	-0.3	-0.36	-0.36	-0.06	0.24	0.06	-0.22	-0.47	0.19	-0.14
YPL227C	-0.6	-0.94	-0.04	-0.09	0.42	0.42	0.52	0.24	0.28	0.06	-0.01	-0.07	0.07	0.34	0.19	0.24	0.19	0.1	-0.79	-0.67	-0.71	-0.4	-0.14	-0.22	0.24	0	-0.18	-0.45	-0.09	-0.34	-0.76	-0.67	-0.18	-0.25	0.23	-0.42	-0.25	-0.36	-0.42	-0.18	0.19	-0.4	-0.4	-0.25	-0.45	-0.47	-0.51	-0.17	0.07	0	0	0	-0.25	0.26	0.25	-0.1	0.39	-0.32	-0.17	-1.29	-0.01	-0.51	-0.2	-0.17	0.1	-0.18	-0.81	-0.23	2.14	0.34	-0.47	-0.56	0.14	0.23	0.56	0.03	0.14	0	-0.56
YPR124W	-0.64	-0.79	-0.23	-0.06	0.37	0.48	0.91	0.71	0.76	0.65	1.12	0.16	0.29	0.38	0.94	0.61	0.45	0.03	-0.64	-0.92	-0.54	-0.25	-0.49	-0.69	-0.58	-0.38	-0.4	-0.38	-0.1	-0.14	-0.38	0.3	-0.92	-1.51	-1.89	-1.03	-0.92	-0.42	-0.38	-0.51	-0.29	0.33	0.34	0.31	0.54	0.21	0.57	-0.17	0	-0.74	-1.36	-1	-1.25	-0.12	-0.62	-0.67	-0.86	-1.56	-0.22	0.39	0.96	0.31	0.62	0.18	0.86	1.26	1.01	0.2	-0.04	-0.04	-0.58	-0.92	-0.03	-0.23	-0.67	-0.69	-0.74	-0.23	-0.04
YCL050C	-0.03	0	0.2	0.4	0.07	0.45	0.08	0.25	0.16	0.21	0.3	-0.06	-0.06	-0.09	-0.04	0.19	-0.03	0.04	0.48	0.38	0.31	0.01	0.16	0.29	0.41	0.26	0.26	0.08	0.3	0.25	0.15	0.38	-0.89	-0.64	-0.54	-0.62	-0.49	-0.67	-0.45	-0.45	-0.43	-0.12	-0.09	-1	0.28	0.04	0.15	0.31	-0.27	-0.42	-0.09	-0.62	-0.34	0.19	0.29	0.08	-0.25	1.01	-0.3	0.77	0.82	-0.32	-0.34	-0.43	0.41	0.14	0.11	-0.23	-0.12	0.1	-0.38	0.15	0.12	-0.09	-0.42	-0.45	-0.81	-0.92	-1.94
YLL039C	0.3	0.39	-0.06	-0.01	-0.12	-0.34	0.1	-0.04	0.18	0.23	0.07	-0.23	0.06	-0.1	0.23	0.53	-0.03	0.16	1.12	0.26	-0.6	0.59	0.25	-0.03	0.07	0.36	0.29	0.21	0.19	0.26	0.42	0.4	-0.1	-0.4	-0.15	-0.07	-0.3	-0.36	0	0.19	0.1	0.24	0.29	0.55	0.71	0.94	1.28	-0.14	-0.6	-0.69	-0.12	0.08	-0.25	0.1	0.41	0.41	0.19	-0.09	-0.04	1.83	0.44	-0.27	0.26	-0.17	0.59	0.45	0.54	-0.06	-0.29	0.1	-0.27	-0.23	0.01	-0.23	0.08	-0.01	-0.07	-0.06	-1.06
YOR014W	0.3	0.06	0.48	0.15	0.03	-0.23	0.01	-0.14	-0.17	0.04	-0.23	0.11	-0.1	-0.04	-0.04	0.01	-0.15	0.21	0.99	0.1	0.2	0.19	-0.17	0.15	0.24	0.08	0.11	-0.09	0.1	0	0.07	0.15	-0.1	-0.54	-0.14	-0.01	0.1	-0.1	0	-0.3	-0.04	-0.04	-0.29	-0.76	0.07	-0.12	-0.23	-0.45	-0.56	-0.58	-0.49	-0.74	-0.54	-0.32	-0.29	-0.3	-0.43	-0.32	-0.01	0.57	-0.1	-0.1	-0.15	-0.2	0.04	-0.1	-0.17	-0.49	-0.27	-0.62	-0.81	0.64	0.06	0.03	-0.27	-0.38	-0.34	-0.06	-0.09
YGR254W	0.19	-0.51	0.36	0.19	0.12	-0.22	0.21	-0.49	0.04	-0.27	-0.15	-0.03	-0.03	-0.15	-0.06	-0.09	0.15	-0.27	0.51	0.1	0.34	0.37	0.25	0.19	-0.09	0.15	0.12	0.15	-0.64	0.16	0.58	0.21	-1	-1.36	-1.25	-0.36	0.23	0.26	0.39	0.36	0.07	0.52	0.68	-0.62	0.33	0.25	0.14	-0.38	-0.15	-0.29	-0.23	-0.22	-0.23	0.24	-0.03	-0.14	-0.45	-0.58	0.25	0.93	-0.04	-1	-0.36	-0.69	0.73	-0.43	0.56	0.19	-0.07	-0.4	-0.86	-0.15	-0.01	0.08	0.06	-0.03	-0.38	0.18	-0.25
YNR030W	-0.38	-0.12	-0.47	-0.06	-0.23	-0.12	-0.22	-0.54	-0.4	-0.43	-0.47	-0.18	-0.17	-0.4	-0.42	-0.84	-0.3	-0.56	-0.47	-0.27	-0.2	0	-0.25	-0.22	-0.15	0.19	-0.23	-0.22	-0.03	-0.22	-0.17	0.04	0.1	-0.4	-0.58	-0.23	-0.43	0.03	0.14	0.21	0.03	-0.32	-0.01	0.01	-0.3	-0.15	-0.2	-0.18	-0.38	-0.67	-1.09	-0.1	0.01	0.08	-0.56	0.07	0.04	-0.15	-0.03	0.39	0.43	-0.1	0.32	-0.04	0.26	-0.1	0.56	0.44	-0.22	0.31	-1.06	-0.12	0.03	-0.01	0.45	0.14	0.38	0.16	-1.25
YOR201C	-0.1	0.39	-0.07	-0.29	-0.04	-0.18	0.19	0	-0.07	-0.15	-0.15	-0.29	0.01	-0.3	-0.18	0.01	-0.14	-0.25	-1.18	-0.6	-0.54	-0.07	-0.09	-0.15	0.08	0.12	0.11	0.12	-0.06	0.26	0.1	-0.1	0.4	0.06	0.15	0.12	0.29	0.41	0.37	0.33	0.37	0.5	0.43	0.68	0.64	0.46	0.71	-0.43	0.04	-0.06	-0.25	-0.15	-0.18	-0.23	-0.84	0.29	-1	-1.06	-0.01	-0.42	-0.18	0.19	-0.15	0.91	0.01	-0.51	-0.36	-0.6	0.03	0.3	-0.17	0.28	-0.03	0.07	0.53	0.26	-0.36	0.32	-0.06
YML121W	0.06	-0.01	-0.18	-0.3	-0.3	-0.14	0.08	0.01	-0.07	-0.3	-0.32	-0.64	-0.27	-0.69	-0.22	-0.56	-0.14	-0.34	-0.29	0	0.04	0.15	-0.14	-0.14	-0.03	0.07	-0.09	0.07	0.11	0.01	0	-0.06	0.57	0.04	-0.29	0.19	0.07	0.18	0	-0.03	0.16	0	0.07	0.36	0.36	0.11	0.42	0.01	0.37	0.14	-0.4	-0.4	-0.04	-0.22	-0.84	0.06	-0.25	-0.42	-0.1	-0.36	-0.06	-0.15	0.04	0.28	-0.04	-0.47	-0.29	-0.56	-0.17	-0.15	-0.12	-0.1	0.23	0.31	0.55	0.04	-0.07	0.65	0.33
YPL082C	0.67	0.63	0.67	0.5	0.73	0.07	0.61	0.15	0.65	0.36	0.46	0.32	0.44	0.2	0.74	0.21	0.23	0.56	0.76	-0.76	-0.6	-0.15	-0.12	-0.74	-0.34	-0.62	-0.04	-0.29	-0.67	-0.36	-0.76	-0.42	0.11	0.06	-0.2	-0.03	2.7	-0.06	-0.12	-0.36	-0.09	-0.43	-0.01	-0.25	-0.6	-0.32	-0.94	-0.47	-0.2	-0.27	-0.04	-0.32	-0.32	0.07	0.01	-0.62	-0.2	-0.03	-0.67	-0.03	-0.32	-0.32	0.15	-1.15	-0.67	-0.62	-0.36	-0.47	0.38	-0.34	-0.34	-0.34	-0.1	-0.15	-0.04	-0.25	-0.29	-0.71	-0.79
YLR256W	0.75	0.99	0.55	0.8	0.14	0.88	0.55	0.82	0.49	0.84	0.37	0.7	0.3	0.64	0.36	0.5	0.66	0.85	0.71	0.52	-0.01	0.23	0.45	0.21	0.28	-0.23	-0.18	-0.03	0.08	0.15	-0.29	0.26	-0.12	-0.07	-0.09	0.07	-0.03	-0.12	0.07	-0.34	0.12	-0.15	-0.07	-0.32	-0.23	-0.2	-0.22	-0.34	-0.38	-0.3	-0.45	-0.27	-0.23	0.25	0.11	0.04	0.16	0.1	-0.03	0.12	0	-0.29	0.06	0.14	-0.71	-0.6	-0.42	-0.14	0.38	-0.15	0.12	0.24	0.07	-0.04	-0.18	-0.23	-0.47	-0.89	-0.81
YBL005W	1.21	0.82	1.23	1.34	1.14	1.14	0.99	0.3	1.24	1.23	0.72	1.06	0.64	1.09	0.91	1.12	0.89	1.22	0.3	-0.2	0.32	0.07	0.08	0.03	-0.04	-0.04	0	0.04	-0.42	-0.03	-0.04	0.11	-0.09	0.12	-0.22	0.23	0.16	0.15	0.28	0	0.19	-0.07	-0.3	-0.17	-0.2	-0.07	-0.15	0.03	-0.23	-0.54	-0.51	0	-0.94	0.46	-0.18	-0.84	-0.36	-0.18	-0.1	-0.06	-0.6	-0.51	0.08	1.08	-3.06	-0.43	-0.84	-0.71	0.16	-1.25	0.26	-0.06	0.12	0.24	0.03	-0.04	-0.04	-0.74	-1.22
YJR028W	1.34	1.28	1.29	0.77	1.59	1.1	1.04	1.46	1.22	1.2	1.79	1	0.63	1.37	0.88	0.96	0.38	0.86	0.87	0.18	0.18	0.16	0.41	-0.38	-0.12	-0.43	-0.12	-0.34	-0.38	-0.07	-0.42	-0.12	0.1	0.12	0.01	0.32	0.04	0.5	0.37	0.31	0.14	0.15	0.06	0.18	-0.04	0.32	0.07	-0.38	-0.27	-0.74	-0.64	-0.86	-1.09	0.57	-0.17	-0.54	-0.17	-0.32	-0.09	0.07	-0.84	-0.4	0.1	0	-2.94	-0.43	-0.6	-0.43	0.03	-1.4	0.44	-0.27	0.04	0.1	-0.09	-0.36	0	-0.1	-0.64
YER172C	0.84	0.61	0.64	0.88	0.72	0.73	0.74	0.55	0.48	0.81	0.43	0.73	0.3	0.6	0.53	0.77	0.62	0.59	0.2	-0.06	0	-0.17	-0.3	-0.32	-0.47	0.06	-0.06	0.19	-0.4	0.14	-0.3	0.29	-0.14	-0.09	-0.3	0	0.06	0.06	0.08	-0.1	0.33	0	-0.22	-0.22	-0.23	0.14	-0.07	-0.22	-0.4	-0.45	-0.09	-0.23	-0.32	-0.12	0.16	0.01	-0.07	-0.17	-0.23	0.1	-0.69	0.16	0.01	-0.43	-0.84	-0.81	-0.38	-0.6	-0.12	-1.03	-0.34	-0.42	0.06	0.01	-0.03	-0.29	-0.14	-0.2	-0.2
YGR112W	1.23	1.02	1.01	1.19	1.04	1.21	0.7	1.32	0.82	0.57	1.43	0.93	0.53	0.89	1	1.24	0.69	0.84	0.57	-0.25	0.14	0.04	0.01	-0.14	0.01	-0.12	0.04	-0.17	-0.27	-0.06	-0.2	0.16	0.41	0.14	0.12	0.23	-0.01	0.44	0.55	0.58	0.39	0.32	0.18	1.12	1.08	0.77	1.1	-0.12	-0.25	-0.47	-0.84	-0.62	-0.79	0.1	-0.32	-0.23	-0.79	-0.42	-0.3	-0.17	-0.81	-0.27	-0.32	-0.42	-0.74	-0.34	-2.4	-0.12	-0.42	-1.36	-0.36	-0.27	0.26	0.15	0.5	0	-0.64	0.53	0.2
YKL074C	0.66	0.03	0.38	0.4	0.43	0.14	0.46	0.15	0.15	0.15	0.2	0.29	0.3	0.1	0.25	0.08	0.3	0.19	0.2	0.08	-0.07	-0.3	-0.14	-0.32	-0.2	-0.47	-0.07	0.04	-0.34	-0.04	-0.22	-0.29	0.65	0.49	0.19	0.18	0.18	0.26	0.43	0.04	-0.06	0.36	0.18	-1.06	0.37	0.06	0.18	-0.42	-0.36	-0.43	-0.69	-0.97	-1.09	-0.32	-0.42	-0.74	0.06	0.15	-0.64	-0.32	-0.56	-0.64	-0.04	-0.42	-0.36	-0.32	-0.4	-0.47	-0.36	-1.32	-0.64	-1.12	0.16	0.11	-0.07	-0.27	-0.3	-0.62	-0.74
YBL066C	0.51	0.29	0.32	0.31	0.07	0.56	0.23	0.08	0.25	-0.23	-0.04	0.41	0.01	-0.22	0.24	0.26	0.24	0.26	0.29	-0.27	0.2	-0.45	-0.09	0.1	-0.81	0	-0.03	-0.06	-0.2	-0.04	-0.07	-0.12	-0.42	-0.22	-0.29	0.11	0.15	0.04	0.07	-0.2	-0.15	-0.27	-0.12	-0.89	-0.38	-0.3	-0.38	0.11	-0.25	0.01	-0.4	-0.79	-0.42	-0.43	-0.74	-0.56	0.07	0.07	-0.56	-0.1	-0.45	-0.89	-0.15	-0.14	-0.71	-0.43	-0.76	-0.94	-0.47	-0.64	-0.3	-0.27	0.04	0.51	-0.43	-0.54	-0.56	0.28	1.03
YGL237C	0.12	-0.47	-0.3	-0.18	0.21	0.29	0.01	0.03	-0.17	-0.18	-0.03	-0.12	-0.12	0.19	0.18	0.07	0.25	0.11	0.44	0.07	-0.14	-0.47	-0.32	-0.43	-0.2	-0.17	0.14	-0.27	-0.36	-0.09	0.08	-0.32	-0.03	-0.12	0.03	-0.01	0.04	-0.09	-0.07	-0.25	-0.17	0.31	-0.3	-0.27	0.16	0.14	0.06	-0.14	-0.29	-0.25	-0.34	-0.51	-0.32	-0.1	-0.25	-0.3	0.44	0.25	-0.27	0.5	0.01	-0.47	0.07	-0.47	-0.25	-0.47	-0.25	-0.38	-0.09	0.14	-0.01	-0.32	-0.15	0.03	-0.12	-0.32	-0.23	-0.04	0.51
YLR148W	0.07	0.32	0	0.06	-0.15	0.19	0.15	0.15	0.12	0.19	-0.1	0.16	0.03	-0.09	-0.14	0.29	-0.15	0.33	-0.18	-0.06	-0.09	0	-0.18	-0.17	-0.29	-0.36	-1.22	-0.03	-0.23	0.01	0	-0.03	-0.04	-0.42	-0.3	-0.22	-0.17	-0.1	-1.36	-0.36	-0.06	-0.29	-0.25	0.07	0.07	-0.3	-0.2	-0.18	-0.18	-0.14	-0.74	-0.6	-0.64	-0.09	-0.86	-0.86	0.38	0.99	-0.4	0	-0.29	0.15	0.04	-0.84	-0.58	-0.29	-0.38	-0.51	0.08	-0.58	-0.84	0.01	-0.14	-0.25	-0.06	-0.01	-0.18	0.06	-0.15
